CPE,cluster,anomalia_global,anomalia_cluster
PT0002000032936306KX,6,normal,normal
PT0002000032942455NH,4,normal,normal
PT0002000032966446CC,4,normal,normal
PT0002000032968749YT,4,normal,normal
PT0002000032969229AC,4,normal,normal
PT0002000032976997LZ,1,normal,normal
PT0002000032990792KD,0,normal,normal
PT0002000032993611ME,4,normal,normal
PT0002000033016394FN,4,normal,normal
PT0002000033039837ZH,4,normal,normal
PT0002000033074862LZ,8,normal,normal
PT0002000033085062AW,0,normal,normal
PT0002000033094187PL,1,normal,normal
PT0002000033171958DG,4,normal,normal
PT0002000033186037TF,1,normal,normal
PT0002000033254603ZX,1,normal,normal
PT0002000053093191SV,1,normal,normal
PT0002000065256275YB,5,normal,normal
PT0002000065523872AA,2,normal,normal
PT0002000066469574LZ,4,normal,normal
PT0002000068856655YV,1,normal,normal
PT0002000068856781NM,3,anomalia,normal
PT0002000068856872QG,2,normal,normal
PT0002000068856906VS,8,normal,normal
PT0002000068856952LS,2,normal,normal
PT0002000068857099AR,2,normal,normal
PT0002000068857897ZV,8,normal,normal
PT0002000068857909SY,2,normal,normal
PT0002000068859187RL,1,normal,normal
PT0002000068859325FL,3,anomalia,normal
PT0002000068859382XF,8,normal,normal
PT0002000068859393XH,3,normal,normal
PT0002000068859597LS,3,normal,normal
PT0002000069698702RB,4,normal,normal
PT0002000069803182JW,6,normal,normal
PT0002000071896778MT,1,normal,normal
PT0002000073231742VK,8,normal,normal
PT0002000073481266XH,1,normal,normal
PT0002000073598156DE,4,normal,normal
PT0002000073717386HC,2,normal,normal
PT0002000075637532JB,1,normal,normal
PT0002000077394934QY,8,normal,normal
PT0002000077647404EM,2,normal,normal
PT0002000078207354XC,2,normal,normal
PT0002000078233981HJ,2,normal,normal
PT0002000078294957RQ,1,normal,normal
PT0002000079901964CJ,9,normal,normal
PT0002000081344542CP,2,normal,normal
PT0002000081997398TD,8,anomalia,anomalia
PT0002000082549706RH,8,normal,normal
PT0002000082592498EF,4,normal,normal
PT0002000084414998AX,4,normal,normal
PT0002000085555547GN,4,normal,normal
PT0002000085641795MX,4,normal,normal
PT0002000089069203YG,1,normal,normal
PT0002000100113293JT,3,anomalia,normal
PT0002000100742616GC,0,normal,normal
PT0002000101964938LF,1,normal,normal
PT0002000102936404ME,8,normal,normal
PT0002000103647515BL,2,normal,normal
PT0002000105483259QH,7,normal,normal
PT0002000106237165CF,4,normal,normal
PT0002000107046231FW,1,normal,normal
PT0002000107172384HT,8,normal,normal
PT0002000107332489XW,4,normal,normal
PT0002000108315818YN,4,normal,normal
PT0002000109837807PE,2,normal,normal
PT0002000109942242HZ,4,normal,normal
PT0002000110090564GD,2,normal,normal
PT0002000110607652SB,1,normal,normal
PT0002000112026362NN,2,normal,normal
PT0002000112171317NK,9,normal,normal
PT0002000112989585PH,4,normal,anomalia
PT0002000115031201VQ,1,normal,normal
PT0002000115673389QK,1,normal,normal
PT0002000115673471CB,1,normal,anomalia
PT0002000115700602GW,1,normal,normal
PT0002000117822355RM,4,normal,normal
PT0002000119303492KB,1,normal,normal
PT0002000120237616VJ,8,normal,normal
PT0002000120320157HF,8,normal,normal
PT0002000123648159KR,1,normal,normal
PT0002000123801456QA,4,normal,normal
PT0002000125379984SH,2,normal,normal
PT0002000131605602FL,6,normal,normal
PT0002000133505542CK,1,normal,anomalia
PT0002000133685986TF,9,normal,normal
PT0002000201936109ME,0,normal,normal
