CPE,is_normal
PT0002000032936306KX,True
PT0002000032942455NH,True
PT0002000032966446CC,True
PT0002000032968749YT,True
PT0002000032969229AC,True
PT0002000032976997LZ,True
PT0002000032990792KD,True
PT0002000032993611ME,True
PT0002000033016394FN,True
PT0002000033039837ZH,True
PT0002000033074862LZ,True
PT0002000033085062AW,True
PT0002000033094187PL,True
PT0002000033171958DG,True
PT0002000033186037TF,True
PT0002000033254603ZX,True
PT0002000053093191SV,True
PT0002000065256275YB,True
PT0002000065523872AA,True
PT0002000066469574LZ,True
PT0002000068856655YV,True
PT0002000068856781NM,True
PT0002000068856872QG,True
PT0002000068856906VS,True
PT0002000068856952LS,True
PT0002000068857099AR,True
PT0002000068857897ZV,True
PT0002000068857909SY,True
PT0002000068859187RL,True
PT0002000068859325FL,True
PT0002000068859382XF,True
PT0002000068859393XH,True
PT0002000068859597LS,True
PT0002000069698702RB,True
PT0002000069803182JW,True
PT0002000071896778MT,True
PT0002000073231742VK,True
PT0002000073481266XH,True
PT0002000073598156DE,True
PT0002000073717386HC,False
PT0002000075637532JB,True
PT0002000077394934QY,True
PT0002000077647404EM,True
PT0002000078207354XC,True
PT0002000078233981HJ,True
PT0002000078294957RQ,True
PT0002000078441876HB,True
PT0002000079901964CJ,True
PT0002000081344542CP,True
PT0002000081997398TD,True
PT0002000082549706RH,True
PT0002000082592498EF,True
PT0002000084414998AX,True
PT0002000085555547GN,True
PT0002000085641795MX,True
PT0002000089069203YG,True
PT0002000100113293JT,True
PT0002000100742616GC,True
PT0002000101964938LF,True
PT0002000102936404ME,True
PT0002000103647515BL,False
PT0002000105483259QH,True
PT0002000106237165CF,True
PT0002000107046231FW,True
PT0002000107172384HT,True
PT0002000107332489XW,True
PT0002000108315818YN,True
PT0002000109837807PE,True
PT0002000109942242HZ,True
PT0002000110090564GD,True
PT0002000110607652SB,True
PT0002000112026362NN,True
PT0002000112171317NK,True
PT0002000112989585PH,True
PT0002000114685657JR,True
PT0002000115031201VQ,True
PT0002000115673389QK,True
PT0002000115673471CB,True
PT0002000115700602GW,True
PT0002000117822355RM,True
PT0002000119303492KB,True
PT0002000120237616VJ,True
PT0002000120320157HF,True
PT0002000123648159KR,True
PT0002000123801456QA,True
PT0002000125379984SH,True
PT0002000131605602FL,True
PT0002000133505542CK,True
PT0002000133685986TF,True
PT0002000201936109ME,True
